year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,34,436.95598100710663,272.728421252839,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,35,542.0684117443038,331.4982027124265,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,36,429.72842133624005,285.2437106532558,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,37,393.0094519199746,247.02067007316208,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,38,331.73646331766963,211.8135873740858,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,39,291.51052364442427,201.21221057544196,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,40,160.25654518056615,100.69457255444533,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,41,128.32083671815616,79.77540005167864,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,42,166.9148663964591,107.27491032662073,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,43,77.01732329224627,47.77582460338203,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,44,140.3240907801615,107.84990315745026,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,45,39.85554228468187,25.717448325057408,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,46,60.87432677386789,41.54866726690247,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,47,69.62853663797846,44.17172234340889,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,48,74.37628523345485,63.54899059296908,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,49,36.84585852721773,25.577573274290913,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
